Item Number,Derived Item,Is New,Added On,Is Deleted,Deleted On,MBS Fee,CPI Rate,CPI MBS Fee
237,,-,-,-,-,161.3,13.1408,182.5
238,,-,-,-,-,41.5,13.1408,46.95
239,,-,-,-,-,71.2,13.1408,80.56
240,,-,-,-,-,118.55,13.1408,134.13
243,,-,-,-,-,65.2,13.1408,73.77
244,,-,-,-,-,30.35,13.1408,34.34
245,,-,-,-,-,123.85,13.1408,140.13
249,,-,-,-,-,84.8,13.1408,95.94
251,,-,-,Yes,01-11-2022,13.55,13.1408,15.33
252,,-,-,Yes,01-11-2022,29.65,13.1408,33.55
253,Yes,-,-,Yes,01-11-2022,0,0,0
254,,-,-,Yes,01-11-2022,57.35,13.1408,64.89
255,Yes,-,-,Yes,01-11-2022,0,0,0
256,,-,-,Yes,01-11-2022,84.45,13.1408,95.55
257,Yes,-,-,Yes,01-11-2022,0,0,0
259,,-,-,Yes,01-11-2022,29.65,13.1408,33.55
260,Yes,-,-,Yes,01-11-2022,0,0,0
261,,-,-,Yes,01-11-2022,57.35,13.1408,64.89
262,Yes,-,-,Yes,01-11-2022,0,0,0
263,,-,-,Yes,01-11-2022,84.45,13.1408,95.55
264,Yes,-,-,Yes,01-11-2022,0,0,0
265,,-,-,Yes,01-11-2022,29.65,13.1408,33.55
266,Yes,-,-,Yes,01-11-2022,0,0,0
268,,-,-,Yes,01-11-2022,57.35,13.1408,64.89
269,Yes,-,-,Yes,01-11-2022,0,0,0
270,,-,-,Yes,01-11-2022,84.45,13.1408,95.55
271,Yes,-,-,Yes,01-11-2022,0,0,0
272,,-,-,-,-,57.35,13.1408,64.89
276,,-,-,-,-,84.45,13.1408,95.55
277,,-,-,-,-,57.35,13.1408,64.89
279,,-,-,-,-,57.35,13.1408,64.89
281,,-,-,-,-,72.85,13.1408,82.42
282,,-,-,-,-,107.3,13.1408,121.4
283,,-,-,-,-,74.2,13.1408,83.95
285,Yes,-,-,-,-,0,0,0
286,,-,-,-,-,106.2,13.1408,120.16
287,Yes,-,-,-,-,0,0,0
288,Yes,-,-,Yes,01-01-2022,0,0,0
289,,-,-,-,-,267.85,13.1408,303.05
291,,-,-,-,-,459.45,13.1408,519.83
293,,-,-,-,-,287.2,13.1408,324.94
294,Yes,Yes,01-11-2022,-,-,0,0,0
296,,-,-,-,-,264.2,13.1408,298.92
297,,-,-,-,-,264.2,13.1408,298.92
299,,-,-,-,-,315.95,13.1408,357.47
300,,-,-,-,-,44,13.1408,49.78
302,,-,-,-,-,87.75,13.1408,99.28
304,,-,-,-,-,135.1,13.1408,152.85
306,,-,-,-,-,186.4,13.1408,210.89
308,,-,-,-,-,216.35,13.1408,244.78
310,,-,-,-,-,21.9,13.1408,24.78
312,,-,-,-,-,44,13.1408,49.78
314,,-,-,-,-,67.65,13.1408,76.54
316,,-,-,-,-,93.35,13.1408,105.62
318,,-,-,-,-,108.2,13.1408,122.42
319,,-,-,-,-,186.4,13.1408,210.89
320,,-,-,-,-,44,13.1408,49.78
322,,-,-,-,-,87.75,13.1408,99.28
324,,-,-,-,-,135.1,13.1408,152.85
326,,-,-,-,-,186.4,13.1408,210.89
328,,-,-,-,-,216.35,13.1408,244.78
330,,-,-,-,-,80.75,13.1408,91.36
332,,-,-,-,-,126.5,13.1408,143.12
334,,-,-,-,-,184.35,13.1408,208.57
336,,-,-,-,-,223.05,13.1408,252.36
338,,-,-,-,-,253.3,13.1408,286.59
342,,-,-,-,-,50.05,13.1408,56.63
344,,-,-,-,-,66.45,13.1408,75.18
346,,-,-,-,-,98.25,13.1408,111.16
348,,-,-,-,-,128.65,13.1408,145.56
350,,-,-,-,-,177.6,13.1408,200.94
352,,-,-,-,-,128.65,13.1408,145.56
353,,-,-,Yes,01-01-2022,58.05,13.1408,65.68
355,,-,-,Yes,01-01-2022,116.15,13.1408,131.41
356,,-,-,Yes,01-01-2022,170.3,13.1408,192.68
357,,-,-,Yes,01-01-2022,234.9,13.1408,265.77
358,,-,-,Yes,01-01-2022,286.25,13.1408,323.87
359,,-,-,Yes,01-01-2022,330.25,13.1408,373.65
361,,-,-,Yes,01-01-2022,303.8,13.1408,343.72
364,,-,-,Yes,01-01-2022,44,13.1408,49.78
366,,-,-,Yes,01-01-2022,87.75,13.1408,99.28
367,,-,-,Yes,01-01-2022,135.1,13.1408,152.85
369,,-,-,Yes,01-01-2022,186.55,13.1408,211.06
370,,-,-,Yes,01-01-2022,216.35,13.1408,244.78
371,,Yes,01-01-2019,Yes,01-01-2022,75.4,2.5,77.29
372,,Yes,01-01-2019,Yes,01-01-2022,107.9,2.5,110.6
384,,-,-,Yes,01-01-2022,65.15,13.1408,73.71
385,,-,-,-,-,86.85,13.1408,98.26
386,,-,-,-,-,43.65,13.1408,49.39
387,,-,-,-,-,127.4,13.1408,144.14
388,,-,-,-,-,80.65,13.1408,91.25
389,Yes,-,-,Yes,01-01-2022,0,0,0
410,,-,-,-,-,19.85,13.1408,22.46
411,,-,-,-,-,43.4,13.1408,49.1
412,,-,-,-,-,83.9,13.1408,94.93
413,,-,-,-,-,123.55,13.1408,139.79
414,Yes,-,-,-,-,0,0,0
415,Yes,-,-,-,-,0,0,0
416,Yes,-,-,-,-,0,0,0
417,Yes,-,-,-,-,0,0,0
501,,-,-,Yes,01-03-2020,34.7,0,34.7
503,,-,-,Yes,01-03-2020,58.65,0,58.65
507,,-,-,Yes,01-03-2020,98.5,0,98.5
511,,-,-,Yes,01-03-2020,139.35,0,139.35
515,,-,-,Yes,01-03-2020,215.8,0,215.8
519,,-,-,Yes,01-03-2020,148.4,0,148.4
520,,-,-,Yes,01-03-2020,285.05,0,285.05
530,,-,-,Yes,01-03-2020,467.2,0,467.2
532,,-,-,Yes,01-03-2020,649.35,0,649.35
534,,-,-,Yes,01-03-2020,831.65,0,831.65
536,,-,-,Yes,01-03-2020,922.75,0,922.75
585,,-,-,-,-,129.8,13.1408,146.86
588,,-,-,-,-,129.8,13.1408,146.86
591,,-,-,-,-,92.8,2.5,95.12
594,,-,-,-,-,41.95,13.1408,47.46
599,,-,-,-,-,153,13.1408,173.1
600,,-,-,-,-,124.25,2.5,127.36
699,,Yes,01-04-2019,-,-,75.05,2.5,76.93
701,,-,-,-,-,59.35,13.1408,67.15
703,,-,-,-,-,137.9,13.1408,156.02
705,,-,-,-,-,190.3,13.1408,215.31
707,,-,-,-,-,268.8,13.1408,304.12
715,,-,-,-,-,212.25,13.1408,240.14
721,,-,-,-,-,144.25,13.1408,163.21
723,,-,-,-,-,114.3,13.1408,129.32
729,,-,-,-,-,70.4,13.1408,79.65
731,,-,-,-,-,70.4,13.1408,79.65
732,,-,-,-,-,72.05,13.1408,81.52
733,,-,-,-,-,23.2,13.1408,26.25
735,,-,-,-,-,70.65,13.1408,79.93
737,,-,-,-,-,39.2,13.1408,44.35
739,,-,-,-,-,120.95,13.1408,136.84
741,,-,-,-,-,67.15,13.1408,75.97
743,,-,-,-,-,201.65,13.1408,228.15
745,,-,-,-,-,94.2,13.1408,106.58
747,,-,-,-,-,51.9,13.1408,58.72
750,,-,-,-,-,89,13.1408,100.69
758,,-,-,-,-,148.2,13.1408,167.68
761,Yes,-,-,-,-,0,0,0
763,Yes,-,-,-,-,0,0,0
766,Yes,-,-,-,-,0,0,0
769,Yes,-,-,-,-,0,0,0
772,Yes,-,-,-,-,0,0,0
776,Yes,-,-,-,-,0,0,0
788,Yes,-,-,-,-,0,0,0
789,Yes,-,-,-,-,0,0,0
792,,-,-,-,-,61.3,13.1408,69.36
812,,-,-,Yes,01-01-2022,18.3,13.1408,20.7
820,,-,-,-,-,141.2,13.1408,159.76
822,,-,-,-,-,211.85,13.1408,239.69
823,,-,-,-,-,282.3,13.1408,319.4
825,,-,-,-,-,101.4,13.1408,114.72
826,,-,-,-,-,161.7,13.1408,182.95
827,Yes,-,-,Yes,01-01-2022,0,0,0
828,,-,-,-,-,222.05,13.1408,251.23
829,Yes,-,-,Yes,01-01-2022,0,0,0
830,,-,-,-,-,141.2,13.1408,159.76
832,,-,-,-,-,211.85,13.1408,239.69
834,,-,-,-,-,282.3,13.1408,319.4
835,,-,-,-,-,101.4,13.1408,114.72
837,,-,-,-,-,161.7,13.1408,182.95
838,,-,-,-,-,222.05,13.1408,251.23
855,,-,-,-,-,141.2,13.1408,159.76
857,,-,-,-,-,211.85,13.1408,239.69
858,,-,-,-,-,282.3,13.1408,319.4
861,,-,-,-,-,141.2,13.1408,159.76
864,,-,-,-,-,211.85,13.1408,239.69
866,,-,-,-,-,282.3,13.1408,319.4
867,,-,-,Yes,01-01-2022,39.95,13.1408,45.2
868,Yes,-,-,Yes,01-01-2022,0,0,0
869,Yes,-,-,Yes,01-01-2022,0,0,0
871,,-,-,-,-,81.5,13.1408,92.21
872,,-,-,-,-,37.95,13.1408,42.94
873,,-,-,Yes,01-01-2022,77.5,13.1408,87.68
876,Yes,-,-,Yes,01-01-2022,0,0,0
880,,-,-,-,-,49.4,13.1408,55.89
881,Yes,-,-,Yes,01-01-2022,0,0,0
885,,-,-,Yes,01-01-2022,114,13.1408,128.98
891,Yes,-,-,Yes,01-01-2022,0,0,0
892,Yes,-,-,Yes,01-01-2022,0,0,0
894,,Yes,01-01-2019,Yes,01-07-2022,35.9,2.5,36.8
896,,Yes,01-01-2019,Yes,01-07-2022,69.55,2.5,71.29
898,,Yes,01-01-2019,Yes,01-07-2022,102.45,2.5,105.01
899,,Yes,01-03-2019,Yes,01-07-2019,16.15,0,16.15
900,,-,-,-,-,154.8,13.1408,175.14
901,,Yes,01-03-2019,Yes,01-07-2019,35.4,0,35.4
903,,-,-,-,-,106,13.1408,119.93
905,,Yes,01-03-2019,Yes,01-07-2019,68.5,0,68.5
906,,Yes,01-03-2019,Yes,01-07-2019,100.8,0,100.8
941,,Yes,01-03-2021,Yes,01-01-2023,90.8,0,90.8
942,,Yes,01-03-2021,Yes,01-01-2023,130,0,130
2095,,Yes,01-03-2019,Yes,01-07-2019,20.2,0,20.2
2100,,-,-,Yes,01-01-2022,22.9,13.1408,25.91
2121,,Yes,01-01-2019,Yes,01-07-2022,44.9,2.5,46.02
2122,Yes,-,-,Yes,01-01-2022,0,0,0
2125,Yes,-,-,Yes,01-01-2022,0,0,0
2126,,-,-,Yes,01-01-2022,49.95,13.1408,56.51
2137,Yes,-,-,Yes,01-01-2022,0,0,0
2138,Yes,-,-,Yes,01-01-2022,0,0,0
2143,,-,-,Yes,01-01-2022,96.85,13.1408,109.58
2144,,Yes,01-03-2019,Yes,01-07-2019,44.2,0,44.2
2147,Yes,-,-,Yes,01-01-2022,0,0,0
2150,,Yes,01-01-2019,Yes,01-07-2022,86.95,2.5,89.12
2179,Yes,-,-,Yes,01-01-2022,0,0,0
2180,,Yes,01-03-2019,Yes,01-07-2019,85.6,0,85.6
2193,,Yes,01-03-2019,Yes,01-07-2019,126.05,0,126.05
2195,,-,-,Yes,01-01-2022,142.5,13.1408,161.23
2196,,Yes,01-01-2019,Yes,01-07-2022,128.05,2.5,131.25
2199,Yes,-,-,Yes,01-01-2022,0,0,0
2220,Yes,-,-,Yes,01-01-2022,0,0,0
2461,,Yes,01-11-2019,Yes,01-01-2022,17.75,2.5,18.19
2463,,Yes,01-11-2019,Yes,01-01-2022,38.75,2.5,39.72
2464,,Yes,01-11-2019,Yes,01-01-2022,75.05,2.5,76.93
2465,,Yes,01-11-2019,Yes,01-01-2022,110.5,2.5,113.26
2471,,Yes,01-11-2019,Yes,01-01-2022,11.15,2.5,11.43
2472,,Yes,01-11-2019,Yes,01-01-2022,21.3,2.5,21.83
2475,,Yes,01-11-2019,Yes,01-01-2022,38.55,2.5,39.51
2478,,Yes,01-11-2019,Yes,01-01-2022,61.9,2.5,63.45
2480,,Yes,01-11-2019,Yes,01-01-2022,14.2,2.5,14.56
2481,,Yes,01-11-2019,Yes,01-01-2022,31,2.5,31.77
2482,,Yes,01-11-2019,Yes,01-01-2022,60.05,2.5,61.55
2483,,Yes,01-11-2019,Yes,01-01-2022,88.4,2.5,90.61
2497,,-,-,Yes,01-11-2022,16.95,13.1408,19.18
2501,,-,-,Yes,01-11-2022,37.05,13.1408,41.92
2503,Yes,-,-,Yes,01-11-2022,0,0,0
2504,,-,-,Yes,01-11-2022,71.7,13.1408,81.12
2506,Yes,-,-,Yes,01-11-2022,0,0,0
2507,,-,-,Yes,01-11-2022,105.55,13.1408,119.42
2509,Yes,-,-,Yes,01-11-2022,0,0,0
2517,,-,-,Yes,01-11-2022,37.05,13.1408,41.92
2518,Yes,-,-,Yes,01-11-2022,0,0,0
2521,,-,-,Yes,01-11-2022,71.7,13.1408,81.12
2522,Yes,-,-,Yes,01-11-2022,0,0,0
2525,,-,-,Yes,01-11-2022,105.55,13.1408,119.42
2526,Yes,-,-,Yes,01-11-2022,0,0,0
2546,,-,-,Yes,01-11-2022,37.05,13.1408,41.92
2547,Yes,-,-,Yes,01-11-2022,0,0,0
2552,,-,-,Yes,01-11-2022,71.7,13.1408,81.12
2553,Yes,-,-,Yes,01-11-2022,0,0,0
2558,,-,-,Yes,01-11-2022,105.55,13.1408,119.42
2559,Yes,-,-,Yes,01-11-2022,0,0,0
2598,,-,-,Yes,01-11-2022,11,0,11
2600,,-,-,Yes,01-11-2022,21,0,21
2603,,-,-,Yes,01-11-2022,38,0,38
2606,,-,-,Yes,01-11-2022,61,0,61
2610,Yes,-,-,Yes,01-11-2022,0,0,0
2613,Yes,-,-,Yes,01-11-2022,0,0,0
2616,Yes,-,-,Yes,01-11-2022,0,0,0
2620,,-,-,Yes,01-11-2022,21,0,21
2622,,-,-,Yes,01-11-2022,38,0,38
2624,,-,-,Yes,01-11-2022,61,0,61
2631,Yes,-,-,Yes,01-11-2022,0,0,0
2633,Yes,-,-,Yes,01-11-2022,0,0,0
2635,Yes,-,-,Yes,01-11-2022,0,0,0
2664,,-,-,Yes,01-11-2022,21,0,21
2666,,-,-,Yes,01-11-2022,38,0,38
2668,,-,-,Yes,01-11-2022,61,0,61
2673,Yes,-,-,Yes,01-11-2022,0,0,0
2675,Yes,-,-,Yes,01-11-2022,0,0,0
2677,Yes,-,-,Yes,01-11-2022,0,0,0
2700,,-,-,-,-,71.7,13.1408,81.12
2701,,-,-,-,-,105.55,13.1408,119.42
2712,,-,-,-,-,71.7,13.1408,81.12
2713,,-,-,-,-,71.7,13.1408,81.12
2715,,-,-,-,-,91.05,13.1408,103.01
2717,,-,-,-,-,134.1,13.1408,151.72
2721,,-,-,-,-,92.75,13.1408,104.94
2723,Yes,-,-,-,-,0,0,0
2725,,-,-,-,-,132.75,13.1408,150.19
2727,Yes,-,-,-,-,0,0,0
2729,,Yes,01-01-2019,Yes,01-01-2022,94.25,2.5,96.61
2731,,Yes,01-01-2019,Yes,01-01-2022,134.85,2.5,138.22
2733,,Yes,01-03-2021,Yes,01-01-2023,113.5,0,113.5
2735,,Yes,01-03-2021,Yes,01-01-2023,162.45,0,162.45
2799,,-,-,Yes,01-01-2022,114.9,13.1408,130
2801,,-,-,-,-,153.15,13.1408,173.27
2806,,-,-,-,-,76.65,13.1408,86.72
2814,,-,-,-,-,43.65,13.1408,49.39
2820,Yes,-,-,Yes,01-01-2022,0,0,0
2824,,-,-,-,-,185.85,13.1408,210.27
2832,,-,-,-,-,112.4,13.1408,127.17
2840,,-,-,-,-,80.95,13.1408,91.59
2946,,-,-,-,-,141.2,13.1408,159.76
2949,,-,-,-,-,211.85,13.1408,239.69
2954,,-,-,-,-,282.3,13.1408,319.4
2958,,-,-,-,-,101.4,13.1408,114.72
2972,,-,-,-,-,161.7,13.1408,182.95
2974,,-,-,-,-,222.05,13.1408,251.23
2978,,-,-,-,-,141.2,13.1408,159.76
2984,,-,-,-,-,211.85,13.1408,239.69
2988,,-,-,-,-,282.3,13.1408,319.4
2992,,-,-,-,-,101.4,13.1408,114.72
2996,,-,-,-,-,161.7,13.1408,182.95
3000,,-,-,-,-,222.05,13.1408,251.23
3003,,-,-,Yes,01-01-2022,114.9,13.1408,130
3005,,-,-,-,-,153.15,13.1408,173.27
3010,,-,-,-,-,76.65,13.1408,86.72
3014,,-,-,-,-,43.65,13.1408,49.39
3015,Yes,-,-,Yes,01-01-2022,0,0,0
3018,,-,-,-,-,185.85,13.1408,210.27
3023,,-,-,-,-,112.4,13.1408,127.17
3028,,-,-,-,-,80.95,13.1408,91.59
3032,,-,-,-,-,141.2,13.1408,159.76
3040,,-,-,-,-,211.85,13.1408,239.69
3044,,-,-,-,-,282.3,13.1408,319.4
3051,,-,-,-,-,101.4,13.1408,114.72
3055,,-,-,-,-,161.7,13.1408,182.95
3062,,-,-,-,-,222.05,13.1408,251.23
3069,,-,-,-,-,141.2,13.1408,159.76
3074,,-,-,-,-,211.85,13.1408,239.69
3078,,-,-,-,-,282.3,13.1408,319.4
3083,,-,-,-,-,101.4,13.1408,114.72
3088,,-,-,-,-,161.7,13.1408,182.95
3093,,-,-,-,-,222.05,13.1408,251.23
4001,,-,-,-,-,76.6,13.1408,86.67
5000,,-,-,-,-,29,13.1408,32.81
5001,,Yes,01-03-2020,-,-,60.5,2.5,62.01
5003,Yes,-,-,-,-,0,0,0
5004,,Yes,01-03-2020,-,-,101.6,2.5,104.14
5010,Yes,-,-,-,-,0,0,0
5011,,Yes,01-03-2020,-,-,101.6,2.5,104.14
5012,,Yes,01-03-2020,-,-,159.25,2.5,163.23
5013,,Yes,01-03-2020,-,-,200.35,2.5,205.36
5014,,Yes,01-03-2020,-,-,200.35,2.5,205.36
5016,,Yes,01-03-2020,-,-,268.85,2.5,275.57
5017,,Yes,01-03-2020,-,-,310,2.5,317.75
5019,,Yes,01-03-2020,-,-,310,2.5,317.75
5020,,-,-,-,-,49,13.1408,55.44
5021,,Yes,01-03-2020,-,-,45.35,2.5,46.48
5022,,Yes,01-03-2020,-,-,76.2,2.5,78.11
5023,Yes,-,-,-,-,0,0,0
5027,,Yes,01-03-2020,-,-,76.2,2.5,78.11
5028,Yes,-,-,-,-,0,0,0
5030,,Yes,01-03-2020,-,-,119.4,2.5,122.39
5031,,Yes,01-03-2020,-,-,150.25,2.5,154.01
5032,,Yes,01-03-2020,-,-,150.25,2.5,154.01
5033,,Yes,01-03-2020,-,-,201.65,2.5,206.69
5035,,Yes,01-03-2020,-,-,232.5,2.5,238.31
5036,,Yes,01-03-2020,-,-,232.5,2.5,238.31
5039,,Yes,01-03-2020,-,-,146.95,2.5,150.62
5040,,-,-,-,-,83.95,13.1408,94.98
5041,,Yes,01-03-2020,-,-,276.25,2.5,283.16
5042,,Yes,01-03-2020,-,-,110.25,2.5,113.01
5043,Yes,-,-,-,-,0,0,0
5044,,Yes,01-03-2020,-,-,207.15,2.5,212.33
5049,Yes,-,-,-,-,0,0,0
5060,,-,-,-,-,117.75,13.1408,133.22
5063,Yes,-,-,-,-,0,0,0
5067,Yes,-,-,-,-,0,0,0
5200,,-,-,-,-,21,0,21
5203,,-,-,-,-,31,0,31
5207,,-,-,-,-,48,0,48
5208,,-,-,-,-,71,0,71
5220,Yes,-,-,-,-,0,0,0
5223,Yes,-,-,-,-,0,0,0
5227,Yes,-,-,-,-,0,0,0
5228,Yes,-,-,-,-,0,0,0
5260,Yes,-,-,-,-,0,0,0
5263,Yes,-,-,-,-,0,0,0
5265,Yes,-,-,-,-,0,0,0
5267,Yes,-,-,-,-,0,0,0
6004,,-,-,Yes,01-01-2022,98.65,13.1408,111.61
6007,,-,-,-,-,131.55,13.1408,148.84
6009,,-,-,-,-,43.65,13.1408,49.39
6011,,-,-,-,-,86.85,13.1408,98.26
6013,,-,-,-,-,120.3,13.1408,136.11
6015,,-,-,-,-,153.15,13.1408,173.27
6016,Yes,-,-,Yes,01-01-2022,0,0,0
6018,,-,-,-,-,153.15,13.1408,173.27
6019,,-,-,-,-,76.65,13.1408,86.72
6023,,-,-,-,-,267.85,13.1408,303.05
6024,,-,-,-,-,134.1,13.1408,151.72
6025,,-,-,Yes,01-01-2022,114.9,13.1408,130
6026,Yes,-,-,Yes,01-01-2022,0,0,0
6028,,-,-,-,-,50.05,13.1408,56.63
6029,,-,-,-,-,43.35,13.1408,49.05
6031,,-,-,-,-,76.65,13.1408,86.72
6032,,-,-,-,-,115,13.1408,130.11
6034,,-,-,-,-,153.15,13.1408,173.27
6035,,-,-,-,-,34.65,13.1408,39.2
6037,,-,-,-,-,61.3,13.1408,69.36
6038,,-,-,-,-,92,13.1408,104.09
6042,,-,-,-,-,122.55,13.1408,138.65
6051,,-,-,-,-,153.15,13.1408,173.27
6052,,-,-,-,-,76.65,13.1408,86.72
6057,,-,-,-,-,267.85,13.1408,303.05
6058,,-,-,-,-,134.1,13.1408,151.72
6059,,-,-,Yes,01-01-2022,114.9,13.1408,130
6060,Yes,-,-,Yes,01-01-2022,0,0,0
6062,,-,-,-,-,185.85,13.1408,210.27
6063,,-,-,-,-,112.4,13.1408,127.17
6064,,-,-,-,-,43.35,13.1408,49.05
6065,,-,-,-,-,76.65,13.1408,86.72
6067,,-,-,-,-,115,13.1408,130.11
6068,,-,-,-,-,153.15,13.1408,173.27
6071,,-,-,-,-,34.65,13.1408,39.2
6072,,-,-,-,-,61.3,13.1408,69.36
6074,,-,-,-,-,92,13.1408,104.09
6075,,-,-,-,-,122.55,13.1408,138.65
6080,,-,-,-,-,51.7,2.5,52.99
6081,,-,-,-,-,38.55,2.5,39.51
6082,,Yes,01-07-2021,-,-,52.95,0,52.95
6084,,Yes,01-07-2021,-,-,39.5,0,39.5
6087,,-,-,Yes,01-07-2021,1.15,0,1.15
10660,,Yes,01-07-2021,-,-,45.95,0,45.95
10661,,Yes,01-07-2021,-,-,36.8,0,36.8
10801,,-,-,-,-,123.45,13.1408,139.67
10802,,-,-,-,-,123.45,13.1408,139.67
10803,,-,-,-,-,123.45,13.1408,139.67
10804,,-,-,-,-,123.45,13.1408,139.67
10805,,-,-,-,-,123.45,13.1408,139.67
10806,,-,-,-,-,123.45,13.1408,139.67
10807,,-,-,-,-,123.45,13.1408,139.67
10808,,-,-,-,-,123.45,13.1408,139.67
10809,,-,-,-,-,123.45,13.1408,139.67
10816,,-,-,-,-,123.45,13.1408,139.67
10905,,-,-,-,-,66.8,13.1408,75.58
10907,,-,-,-,-,33.45,13.1408,37.85
10910,,-,-,-,-,66.8,13.1408,75.58
10911,,-,-,-,-,66.8,13.1408,75.58
10912,,-,-,-,-,66.8,13.1408,75.58
10913,,-,-,-,-,66.8,13.1408,75.58
10914,,-,-,-,-,66.8,13.1408,75.58
10915,,-,-,-,-,66.8,13.1408,75.58
10916,,-,-,-,-,33.45,13.1408,37.85
10918,,-,-,-,-,33.45,13.1408,37.85
10921,,-,-,-,-,165.8,13.1408,187.59
10922,,-,-,-,-,165.8,13.1408,187.59
10923,,-,-,-,-,165.8,13.1408,187.59
10924,,-,-,-,-,209.2,13.1408,236.69
10925,,-,-,-,-,165.8,13.1408,187.59
